"Id","Time","Plate","Row","Column","SourceWell","Clog","Sorted","InRegions","TOF","Extinction","Green","Yellow","Red","PHExtinction","PWExtinction","PCExtinction","PHGreen","PWGreen","PCGreen","PHYellow","PWYellow","PCYellow","PHRed","PWRed","PCRed","Host","Concentration","Rep","Bact","SourceRow","SourceColumn","Beads"
2062,10,"n/a",0,0,"B1","N",0,111,1427,1390,35.4,23.4,0,38592,1432,"n/a",1448,1404,"n/a",1188,1388,"n/a",0,0,"n/a","N2",NA,NA,"none","B",1,0
2063,10,"n/a",0,0,"B1","N",0,111,1455,1524,57.4,42,0,65535,1460,"n/a",4875,1348,"n/a",3823,1348,"n/a",0,0,"n/a","N2",NA,NA,"none","B",1,0
2099,10,"n/a",0,0,"B1","N",0,111,1951,2035,58.2,49.1,0,43768,1956,"n/a",2797,1928,"n/a",2770,1920,"n/a",0,0,"n/a","N2",NA,NA,"none","B",1,0
2103,10,"n/a",0,0,"B1","N",0,111,2545,2411,44.7,29.4,0,40727,2552,"n/a",1130,2516,"n/a",850,2464,"n/a",0,0,"n/a","N2",NA,NA,"none","B",1,0
2119,10,"n/a",0,0,"B1","N",0,111,1656,1429,15.7,9.22,0,35480,1664,"n/a",555,1636,"n/a",344,1644,"n/a",0,0,"n/a","N2",NA,NA,"none","B",1,0
2130,10,"n/a",0,0,"B1","N",0,111,1711,1714,44.3,34,0,44568,1716,"n/a",1758,1672,"n/a",1597,1652,"n/a",0,0,"n/a","N2",NA,NA,"none","B",1,0
2155,10,"n/a",0,0,"B1","N",0,111,1616,1272,21.1,14.7,0,33978,1624,"n/a",1410,1608,"n/a",1045,1596,"n/a",0,0,"n/a","N2",NA,NA,"none","B",1,0
2156,10,"n/a",0,0,"B1","N",0,111,1801,1701,34.5,25.8,0,40636,1808,"n/a",1476,1772,"n/a",1356,1776,"n/a",0,0,"n/a","N2",NA,NA,"none","B",1,0
2157,10,"n/a",0,0,"B1","N",0,111,1498,1101,17.4,12.1,0,65535,1504,"n/a",1978,1428,"n/a",1572,1412,"n/a",0,0,"n/a","N2",NA,NA,"none","B",1,0
2158,10,"n/a",0,0,"B1","N",0,111,2176,2256,55.4,37.2,0,48270,2184,"n/a",2119,2116,"n/a",1621,2104,"n/a",0,0,"n/a","N2",NA,NA,"none","B",1,0
2182,10,"n/a",0,0,"B1","N",0,111,1244,948,12.7,7.4,0,65535,1252,"n/a",1217,1208,"n/a",837,1192,"n/a",0,0,"n/a","N2",NA,NA,"none","B",1,0
2183,10,"n/a",0,0,"B1","N",0,111,2826,3334,76.7,48.9,0,52818,2832,"n/a",1628,2656,"n/a",1586,2620,"n/a",0,0,"n/a","N2",NA,NA,"none","B",1,0
2184,10,"n/a",0,0,"B1","N",0,111,1741,1358,15.9,9.12,0,32836,1748,"n/a",565,1608,"n/a",331,1616,"n/a",0,0,"n/a","N2",NA,NA,"none","B",1,0
2186,10,"n/a",0,0,"B1","N",0,111,1811,1067,18.2,12.7,0,65535,1816,"n/a",1801,1628,"n/a",1489,1624,"n/a",0,0,"n/a","N2",NA,NA,"none","B",1,0
2193,10,"n/a",0,0,"B1","N",0,111,1732,1233,19.3,14.4,0,41340,1740,"n/a",1095,1692,"n/a",1015,1676,"n/a",0,0,"n/a","N2",NA,NA,"none","B",1,0
2203,10,"n/a",0,0,"B1","N",0,111,1742,1351,13.6,8.6,0,33224,1748,"n/a",472,1724,"n/a",348,1728,"n/a",0,0,"n/a","N2",NA,NA,"none","B",1,0
2204,10,"n/a",0,0,"B1","N",0,111,2159,1583,22.5,12.8,0,33416,2164,"n/a",775,2140,"n/a",412,2136,"n/a",0,0,"n/a","N2",NA,NA,"none","B",1,0
2205,10,"n/a",0,0,"B1","N",0,111,2356,1881,26.5,16.7,0,37234,2364,"n/a",960,2304,"n/a",693,2260,"n/a",0,0,"n/a","N2",NA,NA,"none","B",1,0
2206,10,"n/a",0,0,"B1","N",0,111,2041,1133,20.4,13.8,0,36905,2048,"n/a",1139,1972,"n/a",728,1892,"n/a",0,0,"n/a","N2",NA,NA,"none","B",1,0
2207,10,"n/a",0,0,"B1","N",0,111,1983,1508,25.1,16.8,0,35182,1988,"n/a",1118,1960,"n/a",884,1952,"n/a",0,0,"n/a","N2",NA,NA,"none","B",1,0
2208,10,"n/a",0,0,"B1","N",0,111,1426,1603,45.2,33.5,0,46502,1432,"n/a",3213,1420,"n/a",2289,1408,"n/a",0,0,"n/a","N2",NA,NA,"none","B",1,0
2209,10,"n/a",0,0,"B1","N",0,111,2313,2541,82.6,57.9,0,44991,2320,"n/a",4991,2204,"n/a",4023,2176,"n/a",0,0,"n/a","N2",NA,NA,"none","B",1,0
2210,10,"n/a",0,0,"B1","N",0,111,2352,2462,43.5,28.6,0,45893,2360,"n/a",1139,2180,"n/a",1058,2168,"n/a",0,0,"n/a","N2",NA,NA,"none","B",1,0
2212,10,"n/a",0,0,"B1","N",0,111,2327,2557,41.3,25.7,0,46182,2332,"n/a",1170,2268,"n/a",751,2212,"n/a",0,0,"n/a","N2",NA,NA,"none","B",1,0
2213,10,"n/a",0,0,"B1","N",0,111,1458,1270,14.4,8.51,0,62455,1464,"n/a",927,1380,"n/a",640,1380,"n/a",0,0,"n/a","N2",NA,NA,"none","B",1,0
2217,10,"n/a",0,0,"B1","N",0,111,2611,2215,31.6,19,0,37535,2616,"n/a",815,2456,"n/a",513,2440,"n/a",0,0,"n/a","N2",NA,NA,"none","B",1,0
2218,10,"n/a",0,0,"B1","N",0,111,2580,2609,52.4,36.7,0,48746,2588,"n/a",1785,2384,"n/a",1256,2340,"n/a",0,0,"n/a","N2",NA,NA,"none","B",1,0
2245,10,"n/a",0,0,"B1","N",0,111,1767,1346,15.1,9.63,0,32969,1772,"n/a",701,1740,"n/a",608,1724,"n/a",0,0,"n/a","N2",NA,NA,"none","B",1,0
2246,10,"n/a",0,0,"B1","N",0,111,2408,1549,24.2,16.2,0,46297,2416,"n/a",882,2376,"n/a",576,2368,"n/a",0,0,"n/a","N2",NA,NA,"none","B",1,0
2247,10,"n/a",0,0,"B1","N",0,111,1563,987,11.8,8.11,0,27357,1568,"n/a",496,1548,"n/a",433,1556,"n/a",0,0,"n/a","N2",NA,NA,"none","B",1,0
2248,10,"n/a",0,0,"B1","N",0,111,1906,1653,27,17.9,0,35195,1912,"n/a",1192,1876,"n/a",1033,1892,"n/a",0,0,"n/a","N2",NA,NA,"none","B",1,0
2265,10,"n/a",0,0,"B1","N",0,111,2967,2949,63.5,43.5,0,42009,2972,"n/a",1607,2752,"n/a",1612,2720,"n/a",0,0,"n/a","N2",NA,NA,"none","B",1,0
2606,10,"n/a",0,0,"B2","N",0,111,1507,1385,26.9,12.9,0,43132,1512,"n/a",1215,1488,"n/a",562,1472,"n/a",0,0,"n/a","N2",NA,NA,"none","B",2,2
2684,10,"n/a",0,0,"B2","N",0,111,2230,2155,50.4,31.3,0,43824,2236,"n/a",1494,2060,"n/a",1121,2032,"n/a",0,0,"n/a","N2",NA,NA,"none","B",2,2
2696,10,"n/a",0,0,"B2","N",0,111,2507,2255,43.8,25,0,34580,2512,"n/a",951,2456,"n/a",656,2452,"n/a",0,0,"n/a","N2",NA,NA,"none","B",2,2
2740,10,"n/a",0,0,"B2","N",0,111,2784,3209,129,68.3,0,49481,2792,"n/a",4319,2600,"n/a",3368,2548,"n/a",0,0,"n/a","N2",NA,NA,"none","B",2,2
2742,10,"n/a",0,0,"B2","N",0,111,2293,1694,26.6,13.6,0,31396,2300,"n/a",801,2252,"n/a",550,2216,"n/a",0,0,"n/a","N2",NA,NA,"none","B",2,2
2744,10,"n/a",0,0,"B2","N",0,111,2093,1767,69.3,36.9,0,48648,2100,"n/a",2567,1992,"n/a",1594,1952,"n/a",0,0,"n/a","N2",NA,NA,"none","B",2,2
2755,10,"n/a",0,0,"B2","N",0,111,2244,1778,48.4,21.9,0,32496,2252,"n/a",1445,2212,"n/a",681,2184,"n/a",0,0,"n/a","N2",NA,NA,"none","B",2,2
2765,10,"n/a",0,0,"B2","N",0,111,2666,2481,59.8,32.5,0,45741,2672,"n/a",1753,2616,"n/a",1201,2568,"n/a",0,0,"n/a","N2",NA,NA,"none","B",2,2
