Density,Time,CFU,logCFU
10^7,12,0,#NUM!
10^7,12,0,#NUM!
10^7,12,0,#NUM!
10^7,12,0,#NUM!
10^7,12,0,#NUM!
10^7,12,0,#NUM!
10^7,12,0,#NUM!
10^7,12,0,#NUM!
10^7,12,0,#NUM!
10^7,12,0,#NUM!
10^7,12,20,1.301029996
10^7,12,20,1.301029996
10^7,12,0,#NUM!
10^7,12,0,#NUM!
10^7,12,0,#NUM!
10^7,12,0,#NUM!
10^7,12,0,#NUM!
10^7,12,0,#NUM!
10^7,12,0,#NUM!
10^7,12,0,#NUM!
10^7,12,0,#NUM!
10^7,12,0,#NUM!
10^7,12,0,#NUM!
10^7,12,0,#NUM!
10^7,18,0,#NUM!
10^7,18,100,2
10^7,18,0,#NUM!
10^7,18,0,#NUM!
10^7,18,0,#NUM!
10^7,18,0,#NUM!
10^7,18,40,1.602059991
10^7,18,140,2.146128036
10^7,18,3200,3.505149978
10^7,18,20,1.301029996
10^7,18,100,2
10^7,18,0,#NUM!
10^7,18,5600,3.748188027
10^7,18,0,#NUM!
10^7,18,0,#NUM!
10^7,18,20,1.301029996
10^7,18,180,2.255272505
10^7,18,20,1.301029996
10^7,18,480,2.681241237
10^7,18,460,2.662757832
10^7,18,0,#NUM!
10^7,18,0,#NUM!
10^7,18,80,1.903089987
10^7,18,600,2.77815125
10^7,24,320,2.505149978
10^7,24,440,2.643452676
10^7,24,240,2.380211242
10^7,24,0,#NUM!
10^7,24,5800,3.763427994
10^7,24,0,#NUM!
10^7,24,60,1.77815125
10^7,24,440,2.643452676
10^7,24,140,2.146128036
10^7,24,0,#NUM!
10^7,24,0,#NUM!
10^7,24,300,2.477121255
10^7,24,200,2.301029996
10^7,24,20,1.301029996
10^7,24,60,1.77815125
10^7,24,320,2.505149978
10^7,24,700,2.84509804
10^7,24,0,#NUM!
10^7,24,160,2.204119983
10^7,24,80,1.903089987
10^7,24,0,#NUM!
10^7,24,0,#NUM!
10^7,24,2200,3.342422681
10^7,24,180,2.255272505
10^7,36,20,1.301029996
10^7,36,160,2.204119983
10^7,36,0,#NUM!
10^7,36,0,#NUM!
10^7,36,0,#NUM!
