MYbSp,Time,CFU,logCFU
MYb120,12,80,1.903089987
MYb120,12,40,1.602059991
MYb120,12,20,1.301029996
MYb120,12,100,2
MYb120,12,0,0
MYb120,12,560,2.748188027
MYb120,12,120,2.079181246
MYb120,12,20,1.301029996
MYb120,12,220,2.342422681
MYb120,12,100,2
MYb120,12,280,2.447158031
MYb120,12,20,1.301029996
MYb120,12,20,1.301029996
MYb120,12,20,1.301029996
MYb120,12,42000,4.62324929
MYb120,12,20,1.301029996
MYb120,12,20,1.301029996
MYb120,12,0,0
MYb120,12,20,1.301029996
MYb120,12,160,2.204119983
MYb120,12,0,0
MYb120,12,0,0
MYb120,12,100,2
MYb120,12,0,0
MYb120,18,0,0
MYb120,18,200,2.301029996
MYb120,18,40,1.602059991
MYb120,18,0,0
MYb120,18,60,1.77815125
MYb120,18,340,2.531478917
MYb120,18,720,2.857332496
MYb120,18,120,2.079181246
MYb120,18,0,0
MYb120,18,0,0
MYb120,18,60,1.77815125
MYb120,18,0,0
MYb120,18,20,1.301029996
MYb120,18,300,2.477121255
MYb120,18,700,2.84509804
MYb120,18,340,2.531478917
MYb120,18,140,2.146128036
MYb120,18,120,2.079181246
MYb120,18,20,1.301029996
MYb120,18,20,1.301029996
MYb120,18,0,0
MYb120,18,420,2.62324929
MYb120,18,140,2.146128036
MYb120,18,120,2.079181246
MYb120,24,18000,4.255272505
MYb120,24,320,2.505149978
MYb120,24,60,1.77815125
MYb120,24,4200,3.62324929
MYb120,24,80,1.903089987
MYb120,24,160,2.204119983
MYb120,24,8600,3.934498451
MYb120,24,5600,3.748188027
MYb120,24,3200,3.505149978
MYb120,24,100,2
MYb120,24,0,0
MYb120,24,380,2.579783597
MYb120,24,80,1.903089987
MYb120,24,0,0
MYb120,24,120,2.079181246
MYb120,24,40,1.602059991
MYb120,24,160,2.204119983
MYb120,24,680,2.832508913
MYb120,24,0,0
MYb120,24,20,1.301029996
MYb120,24,60,1.77815125
MYb120,24,40,1.602059991
MYb120,24,100,2
MYb120,24,0,0
MYb120,36,300,2.477121255
MYb120,36,0,0
MYb120,36,120,2.079181246
MYb120,36,0,0
MYb120,36,0,0
MYb120,36,260,2.414973348
MYb120,36,0,0
MYb120,36,20,1.301029996
MYb120,36,240,2.380211242
MYb120,36,140,2.146128036
MYb120,36,0,0
MYb120,36,20,1.301029996
MYb120,36,80,1.903089987
MYb120,36,0,0
MYb120,36,0,0
MYb120,36,0,0
MYb120,36,60,1.77815125
MYb120,36,0,0
MYb120,36,120,2.079181246
MYb120,36,120,2.079181246
MYb120,36,20,1.301029996
MYb120,36,300,2.477121255
MYb120,36,320,2.505149978
MYb120,36,220,2.342422681
MYb120,42,120,2.079181246
MYb120,42,140,2.146128036
MYb120,42,60,1.77815125
MYb120,42,3600,3.556302501
MYb120,42,40,1.602059991
MYb120,42,0,0
MYb120,42,200,2.301029996
MYb120,42,3400,3.531478917
MYb120,42,4200,3.62324929
MYb120,42,20,1.301029996
MYb120,42,3600,3.556302501
MYb120,42,200,2.301029996
MYb120,42,120,2.079181246
MYb120,42,0,0
MYb120,42,80,1.903089987
MYb120,42,140,2.146128036
MYb120,42,0,0
MYb120,42,80,1.903089987
MYb120,42,180,2.255272505
MYb120,42,40,1.602059991
MYb120,42,0,0
MYb120,42,60,1.77815125
MYb120,42,320,2.505149978
MYb120,42,0,0
MYb120,48,60,1.77815125
MYb120,48,20,1.301029996
MYb120,48,40,1.602059991
MYb120,48,200,2.301029996
MYb120,48,220,2.342422681
MYb120,48,120,2.079181246
MYb120,48,100,2
MYb120,48,260,2.414973348
MYb120,48,3800,3.579783597
MYb120,48,180,2.255272505
MYb120,48,800,2.903089987
MYb120,48,800,2.903089987
MYb120,48,400,2.602059991
MYb120,48,160,2.204119983
MYb120,48,140,2.146128036
MYb120,48,540,2.73239376
MYb120,48,100,2
MYb120,48,180,2.255272505
MYb120,48,260,2.414973348
MYb120,48,120,2.079181246
MYb120,48,80,1.903089987
MYb120,48,0,0
MYb120,48,20,1.301029996
MYb120,48,240,2.380211242
