Time,Condition,Row,Column,Sorted status,In Regions,Gate,TOF,Extinction,Green
T0,High +,A,1,1,00011,R2,1576,2287,766
T0,High +,A,1,1,00011,R2,1581,2383,740
T0,High +,A,1,1,00011,R2,1467,2152,735
T0,High +,A,1,1,00011,R2,2331,2445,644
T0,High +,A,1,1,00011,R2,2582,2882,972
T0,High +,A,1,1,00011,R2,2177,2804,949
T0,High +,A,1,1,00011,R2,2336,2890,623
T0,High +,A,1,1,00011,R2,2021,1949,600
T0,High +,A,1,1,00011,R2,1805,2413,566
T0,High +,A,1,1,00011,R2,1713,2475,529
T0,High +,A,1,1,00011,R2,2335,2976,948
T0,High +,A,1,1,00011,R2,1491,2269,537
T0,High +,A,1,1,00011,R2,2261,3029,740
T0,High +,A,1,1,00011,R2,2235,2456,806
T0,High +,A,1,1,00011,R2,2292,3090,874
T0,High +,A,1,1,00011,R2,2264,2804,822
T0,High +,A,1,1,00011,R2,2279,2820,949
T0,High +,A,1,1,00011,R2,1626,1962,524
T0,High +,A,1,1,00011,R2,2388,3603,775
T0,High +,A,1,1,00011,R2,2088,2640,810
T0,High +,A,1,1,00011,R2,2705,2618,774
T0,High +,A,1,1,00011,R2,1248,1732,271
T0,High +,A,1,1,00011,R2,1800,2079,569
T0,High +,A,1,1,00011,R2,1438,1856,735
T0,High +,A,1,1,00011,R2,1393,1999,522
T0,High +,A,1,1,00011,R2,1340,1930,749
T0,High +,A,1,1,00011,R2,1774,2090,891
T0,High +,A,1,1,00011,R2,2199,2490,796
T0,High +,A,1,1,00011,R2,2285,2960,617
T0,High +,A,1,1,00011,R2,2108,2698,676
T0,High +,A,1,1,00011,R2,2155,3333,951
T0,High +,A,1,1,00111,R3,2714,2203,47.2
T0,High +,A,1,23,01011,R4,2635,3021,1616
T0,High +,A,1,6,01011,R4,2032,2777,2314
T0,High +,A,1,6,01011,R4,2037,2347,1237
T0,High +,A,1,6,01011,R4,1872,2719,1524
T0,High +,A,1,23,01011,R4,1685,2211,1513
T0,High +,A,1,6,01011,R4,2083,2087,1854
T0,High +,A,1,6,01011,R4,1737,2194,2446
T0,High +,A,1,10,01011,R4,2041,2410,3217
T0,High +,A,1,10,01011,R4,1561,2081,2642
T0,High +,A,1,6,01011,R4,2518,3403,1261
T0,High +,A,1,6,01011,R4,1636,2173,1507
T0,High +,A,1,6,01011,R4,1521,2186,1098
T0,High +,A,1,6,01011,R4,2189,2724,3045
T0,High +,A,1,6,01011,R4,2040,2128,3227
T0,High +,A,1,6,01011,R4,2309,3323,1029
T0,High +,A,1,6,01011,R4,2194,3141,1615
T0,High +,A,1,6,01011,R4,2134,3061,3441
T0,High +,A,1,6,01011,R4,1656,1891,997
T0,High +,A,1,6,01011,R4,1938,2567,3305
T0,High +,A,1,6,01011,R4,2294,3158,1819
T0,High +,A,1,6,01011,R4,1761,2543,1087
T0,High +,A,1,6,01011,R4,2459,2885,1481
T0,High +,A,1,6,01011,R4,1824,2369,1063
T0,High +,A,1,6,01011,R4,1706,2742,1309
T0,High +,A,1,6,01011,R4,2403,1757,1886
T0,High +,A,1,9,01011,R4,1745,2639,1077
T0,High +,A,1,6,01011,R4,2431,3225,1243
T0,High +,A,1,6,01011,R4,1394,1893,1871
T0,High +,A,1,6,01011,R4,2366,2877,1472
T0,High +,A,1,6,01011,R4,2510,3848,4186
T0,High +,A,1,6,01011,R4,2271,2949,983
T0,High +,A,1,6,01011,R4,1810,3053,1520
T0,High +,A,1,10,01011,R4,2359,2592,2146
T0,High +,A,1,6,01011,R4,2174,2804,1390
T0,High +,A,1,6,01011,R4,1947,2592,1488
