Time,Condition,Gate,TOF,Extinction,Green
T0,High -,R4,1426,1725,1273
T0,High -,R4,1956,1999,2349
T0,High -,R4,1934,2331,1471
T0,High -,R4,1898,1952,1894
T0,High -,R4,2745,3114,1453
T0,High -,R4,2018,2620,1622
T0,High -,R4,1757,1712,2104
T0,High -,R4,2570,1962,2892
T0,High -,R4,2567,2333,1480
T0,High -,R4,2208,2514,1080
T0,High -,R4,2440,2722,1383
T0,High -,R4,1909,2419,963
T0,High -,R4,2003,2199,1025
T0,High -,R4,1765,1949,1141
T0,High -,R4,2020,1811,2311
T0,High -,R4,2267,2766,1117
T0,High -,R4,1700,2133,1204
T0,High -,R4,1933,2503,1673
T0,High -,R4,2298,2562,2444
T0,High -,R4,2184,2315,1230
T0,High -,R4,2422,2619,2537
T0,High -,R4,1930,1966,1212
T0,High -,R4,2173,1809,2045
T0,High -,R4,1879,1104,1009
T0,High -,R4,1911,1872,2923
T0,High -,R4,2314,2131,1434
T0,High -,R4,2285,2968,2563
T0,High -,R4,1636,2493,1382
T0,High -,R4,2391,2425,1657
T0,High -,R4,2329,2583,1520
T0,High -,R4,1975,2342,1333
T0,High -,R4,2263,2344,1528
T0,High -,R4,2400,2939,1336
T0,High -,R4,2645,3292,1563
T0,High -,R4,1968,2196,2316
T0,High -,R4,2822,3201,1267
T0,High -,R4,2171,1804,2989
T0,High -,R4,2445,3391,2245
T0,High -,R4,2547,2203,1200
T0,High -,R4,1728,2016,1762
T0,High -,R4,2378,2550,1873
T0,High -,R4,2572,2818,2571
T0,High -,R4,2217,2526,3425
T0,High -,R4,1887,2301,1190
T0,High -,R4,2459,2442,1075
T0,High -,R4,2145,1395,1073
T0,High -,R4,1930,2531,3493
T0,High -,R4,1410,2035,1527
T0,High -,R4,2133,1788,2980
T0,High -,R4,2271,2244,2297
T0,High -,R4,2439,2087,1184
T0,High -,R4,1298,2002,873
T0,High -,R4,1317,1939,1876
T0,High -,R4,1551,1842,1075
T0,High -,R4,2009,1525,992
T0,High -,R4,1976,2947,2231
T0,High -,R4,1541,2225,1480
T0,High -,R4,2429,2220,2715
T0,High -,R4,2052,1786,2705
T0,High -,R4,1861,2191,2384
T0,High -,R4,2241,2118,1004
T0,High -,R4,2193,2493,2109
T0,High -,R4,1492,1734,2095
T0,High -,R4,2295,1858,1068
T0,High -,R4,1615,2178,2138
T0,High -,R4,2065,2685,1224
T0,High -,R4,2315,2059,1759
T0,High -,R4,2060,2751,1442
T0,High -,R4,2027,2478,1144
T0,High -,R4,2012,1952,1287
T0,High -,R4,1685,2005,1999
T0,High -,R4,1313,1965,1612
T0,High -,R4,1849,1731,1516
T0,High -,R4,2165,2068,2050
T0,High -,R4,2199,2266,1992
T0,High -,R4,1887,1949,1296
T0,High -,R4,2582,1932,1797
T0,High -,R4,2202,2594,2200
T0,High -,R4,2440,2506,2533
T0,High -,R4,2342,1882,2334
T0,High -,R4,2004,2291,1530
T0,High -,R4,2353,3122,3243
T0,High -,R4,1881,1298,2229
T0,High -,R4,2141,1670,1673
T0,High -,R4,1893,2214,2640
T0,High -,R4,1429,1938,1707
T0,High -,R4,2114,1958,1060
T0,High -,R4,1990,1755,2241
T0,High -,R4,1945,2918,2499
T0,High -,R4,2169,1720,1834
T0,High -,R4,1692,1595,1551
T0,High -,R4,1874,1958,1047
T0,High -,R4,2136,1759,2322
T0,High -,R4,2379,2143,1592
T0,High -,R4,2319,2355,1640
T0,High -,R4,1597,2008,1118
T0,High -,R4,1672,1874,2093
T0,High -,R4,1683,2002,1503
T0,High -,R4,2280,2098,3083
T0,High -,R4,2408,2686,2786
T0,High -,R4,1826,2511,3217
T0,High -,R4,1612,1564,973
T0,High -,R4,1770,2613,3415
T0,High -,R4,1322,1861,1397
T0,High -,R4,1603,2374,1413
T0,High -,R4,2429,3628,1472
T0,High -,R4,1545,2074,1701
T0,High -,R4,2140,2865,2435
T0,High -,R4,2741,2678,2041
T0,High -,R4,2179,2633,2340
T0,High -,R4,1716,1664,994
T0,High -,R4,1694,1950,2422
T0,High -,R4,1944,1742,1075
T0,High -,R4,2144,2695,1966
T0,High -,R4,1802,1709,2806
T0,High -,R4,1584,1825,1172
T0,High -,R4,2278,1876,1329
T0,High -,R4,1746,2360,1612
T0,High -,R4,1903,2193,981
T0,High -,R4,2136,2774,1528
T0,High -,R4,2489,2715,2956
T0,High -,R4,2452,2188,1092
T0,High -,R4,2505,3029,2343
T0,High -,R4,2002,1932,2998
T0,High -,R4,2154,2088,1657
T0,High -,R4,2091,1816,2655
T0,High -,R4,1588,2051,3077
T0,High -,R4,2021,2488,1331
T0,High -,R4,1691,2306,1363
T0,High -,R4,1602,2086,951
T0,High -,R4,1913,2209,2240
T0,High -,R4,2644,2042,2103
T0,High -,R4,2143,2240,1598
T0,High -,R4,1826,1922,1575
T0,High -,R4,2278,2739,1033
T0,High -,R4,2329,2734,2874
T0,High -,R4,1554,2024,1292
T0,High -,R4,2163,1601,2340
T0,High -,R4,1934,2426,2975
T0,High -,R4,1586,1989,1409
T0,High -,R4,1851,2054,2314
T0,High -,R4,2677,3496,3804
