Condition,timefit,Time,Gate,TOF,Extinction,Green,logGreen
CM25,0,T0,R4,2508,3646,3116,8.044305407
CM25,0,T0,R2,2619,3092,1138,7.037027615
CM25,0,T0,R5,2362,3222,101,4.615120517
CM25,0,T0,R5,1863,2284,186,5.225746674
CM25,0,T0,R5,2510,3231,548,6.306275287
CM25,0,T0,R2,1730,2656,789,6.670766321
CM25,0,T0,R4,2663,2976,3701,8.216358332
CM25,0,T0,R2,2425,3775,941,6.84694314
CM25,0,T0,R5,1990,2836,152,5.023880521
CM25,0,T0,R5,2688,3453,126,4.836281907
CM25,0,T0,R2,2100,2807,709,6.563855527
CM25,0,T0,R2,1529,2379,578,6.359573869
CM25,0,T0,R2,2159,3466,524,6.261491684
CM25,0,T0,R4,2443,2067,3119,8.045267717
CM25,0,T0,R5,2222,3054,220,5.393627546
CM25,0,T0,R2,2185,1845,523,6.259581464
CM25,0,T0,R4,2296,2619,2224,7.707062655
CM25,0,T0,R2,2159,3013,525,6.263398263
CM25,0,T0,R4,2576,3277,2536,7.838343316
CM25,0,T0,R2,1801,2665,1012,6.91968385
CM25,0,T0,R4,2232,3391,1201,7.090909822
CM25,0,T0,R5,2057,3331,421,6.042632834
CM25,0,T0,R2,2669,2996,896,6.797940413
CM25,0,T0,R4,2525,2975,1980,7.590852124
CM25,0,T0,R5,2723,3823,294,5.683579767
CM25,0,T0,R4,2056,2790,1475,7.296413269
CM25,0,T0,R4,2267,3286,1749,7.466799475
CM25,0,T0,R4,2488,2539,2270,7.72753511
CM25,0,T0,R4,1922,2705,2354,7.763871288
CM25,0,T0,R4,2419,2774,2416,7.789868559
CM25,0,T0,R2,1958,2727,548,6.306275287
CM25,0,T0,R2,2757,3195,1122,7.022868086
CM25,0,T0,R4,2187,2814,2412,7.788211558
CM25,0,T0,R5,2102,2671,224,5.411646052
CM25,0,T0,R4,2065,2519,2269,7.727094485
CM25,0,T0,R4,2744,3316,1564,7.355001921
CM25,0,T0,R4,2480,2743,3924,8.274866821
CM25,0,T0,R2,1835,2516,1032,6.939253946
CM25,0,T0,R4,3017,3368,5033,8.523771507
CM25,0,T0,R2,2306,3065,969,6.876264612
CM25,0,T0,R5,2284,3137,317,5.758901774
CM25,0,T0,R5,1961,2632,429,6.061456919
CM25,0,T0,R5,2163,2256,357,5.877735782
CM25,0,T0,R4,2434,3249,1287,7.160069208
CM25,0,T0,R4,2732,2779,4385,8.385944905
CM25,0,T0,R2,2485,3150,814,6.701960366
CM25,0,T0,R5,2347,2965,397,5.983936281
CM25,0,T0,R4,2509,2912,4249,8.35443894
CM25,0,T0,R2,2140,2527,1122,7.022868086
CM25,0,T0,R5,2828,3824,543,6.29710932
CM25,0,T0,R2,2520,3492,974,6.881411304
CM25,0,T0,R4,1824,2965,1940,7.570443252
CM25,0,T0,R4,2134,2983,3461,8.149312844
CM25,0,T0,R5,2312,3492,404,6.001414878
CM25,0,T0,R4,2133,2231,3313,8.105609402
CM25,0,T0,R5,2045,2585,394,5.976350909
CM25,0,T0,R4,2162,2928,3621,8.19450551
CM25,0,T0,R5,2758,3341,360,5.886104031
CM25,0,T0,R4,1867,2784,3206,8.072779333
CM25,0,T0,R4,3039,3963,2301,7.74109909
CM25,0,T0,R2,2525,3806,692,6.539585956
CM25,0,T0,R5,1742,2022,338,5.823045895
CM25,0,T0,R4,2875,4289,2059,7.629975707
CM25,0,T0,R5,2631,3465,559,6.326149473
CM25,0,T0,R5,2029,2921,203,5.313205979
CM25,0,T0,R5,2126,2681,257,5.549076085
CM25,0,T0,R5,2511,3523,305,5.720311777
CM25,0,T0,R4,2852,4172,2682,7.894318064
CM25,0,T0,R4,2593,3775,4155,8.332067707
CM25,0,T0,R2,2165,3222,1068,6.97354302
CM25,0,T0,R5,1930,2725,67.2,4.207673248
CM25,0,T0,R5,2113,2867,338,5.823045895
CM25,0,T0,R4,1989,2535,3779,8.237214703
CM25,0,T0,R2,2567,3564,1048,6.954638865
CM25,0,T0,R4,3036,3505,2453,7.805067044
CM25,0,T0,R4,2348,2550,2903,7.973499964
CM25,0,T0,R4,1597,2436,2262,7.724004657
CM25,0,T0,R4,2342,2301,2576,7.853993087
CM25,0,T0,R2,2198,3496,999,6.906754779
CM25,0,T0,R4,2532,3394,3828,8.250097753
CM25,0,T0,R5,2428,3131,346,5.846438775
CM25,0,T0,R4,2494,2935,3191,8.068089626
CM25,0,T0,R4,3216,3675,2882,7.966239777
CM25,0,T0,R4,2275,3359,3432,8.140898461
CM25,0,T0,R5,2627,3629,96.5,4.569543008
CM25,0,T0,R4,1983,2901,1370,7.222566019
