Condition,timefit,Time,Gate,TOF,Extinction,Green,logGreen
CM25,24,T24,R4,2431,3070,3670,8.207946941
CM25,24,T24,R5,1767,2666,95.8,4.562262685
CM25,24,T24,R5,2562,3314,77.5,4.350277936
CM25,24,T24,R4,2536,2748,4227,8.349247801
CM25,24,T24,R5,1995,2897,337,5.82008293
CM25,24,T24,R5,2340,2937,248,5.513428746
CM25,24,T24,R5,2357,2687,344,5.840641657
CM25,24,T24,R5,2058,2571,178,5.18178355
CM25,24,T24,R5,1603,1742,127,4.844187086
CM25,24,T24,R5,2263,3044,87.4,4.470495283
CM25,24,T24,R4,2484,2425,4176,8.33710913
CM25,24,T24,R4,1695,1841,2507,7.826842098
CM25,24,T24,R5,2428,3495,417,6.033086222
CM25,24,T24,R4,2382,2797,1956,7.578656851
CM25,24,T24,R4,1574,2089,2932,7.983440063
CM25,24,T24,R4,2816,2351,1335,7.196686571
CM25,24,T24,R4,1907,2304,3710,8.218787156
CM25,24,T24,R4,2670,3591,3122,8.046229101
CM25,24,T24,R4,1933,2288,3332,8.111328003
CM25,24,T24,R5,2498,2953,81.1,4.395682961
CM25,24,T24,R2,1787,2568,612,6.416732283
CM25,24,T24,R4,1799,2696,1717,7.448333861
CM25,24,T24,R2,1552,2021,69.5,4.241326753
CM25,24,T24,R3,2846,2654,53.2,3.974058396
CM25,24,T24,R4,2106,1748,1916,7.557994959
CM25,24,T24,R4,2224,2127,3177,8.063692634
CM25,24,T24,R4,2297,2119,3907,8.270525095
CM25,24,T24,R3,1788,1543,21.8,3.08190997
CM25,24,T24,R4,1627,1900,2146,7.671360923
CM25,24,T24,R5,2049,2607,61.7,4.122283931
CM25,24,T24,R5,2397,2597,346,5.846438775
CM25,24,T24,R4,2759,1950,1865,7.531016332
CM25,24,T24,R4,2190,2424,3935,8.277666161
CM25,24,T24,R4,2423,2615,3276,8.094378445
CM25,24,T24,R4,2233,2639,2384,7.776535028
CM25,24,T24,R4,2209,2124,1749,7.466799475
CM25,24,T24,R2,2789,2602,859,6.755768922
CM25,24,T24,R4,2130,2594,3944,8.279950716
CM25,24,T24,R4,2531,2988,3146,8.053887084
CM25,24,T24,R4,2232,2097,2619,7.870547845
CM25,24,T24,R5,1972,2639,73.3,4.294560609
CM25,24,T24,R4,2272,2469,3337,8.112827479
CM25,24,T24,R4,1678,2033,2530,7.835974582
CM25,24,T24,R4,2140,2565,3853,8.256607345
CM25,24,T24,R2,2801,2493,1206,7.095064377
CM25,24,T24,R5,2609,2725,240,5.480638923
CM25,24,T24,R4,2462,2652,2818,7.943782692
CM25,24,T24,R4,2121,2612,3951,8.28172399
CM25,24,T24,R2,2794,2806,943,6.849066283
CM25,24,T24,R5,2357,2441,452,6.11368218
CM25,24,T24,R5,2635,2425,384,5.950642553
CM25,24,T24,R5,2116,1470,100,4.605170186
CM25,24,T24,R4,2956,3880,3553,8.175547596
CM25,24,T24,R5,2350,2976,54.5,3.998200702
CM25,24,T24,R3,2260,2027,41.5,3.725693427
CM25,24,T24,R4,2586,2323,3979,8.28878581
CM25,24,T24,R4,2001,2883,3855,8.257126286
CM25,24,T24,R5,2309,2300,92.6,4.528289142
CM25,24,T24,R4,2659,2722,1715,7.44716836
CM25,24,T24,R4,1855,1651,1808,7.499976541
CM25,24,T24,R4,2465,2208,1348,7.206377291
CM25,24,T24,R4,2020,2953,4029,8.301273485
CM25,24,T24,R4,1833,1956,2503,7.825245291
CM25,24,T24,R2,2054,2267,709,6.563855527
CM25,24,T24,R3,2169,2145,47.6,3.862832761
CM25,24,T24,R4,2351,2235,2811,7.941295571
CM25,24,T24,R4,1992,1868,1701,7.438971592
CM25,24,T24,R5,2358,2877,86.7,4.462453884
CM25,24,T24,R4,1534,2423,2496,7.822444729
CM25,24,T24,R4,1946,2230,3486,8.156510226
CM25,24,T24,R4,1755,2175,1830,7.512071246
CM25,24,T24,R5,2583,2603,504,6.222576268
CM25,24,T24,R4,2838,3354,4211,8.345455428
CM25,24,T24,R4,2848,3039,4669,8.448700195
CM25,24,T24,R4,2302,3314,3060,8.026170195
CM25,24,T24,R4,2365,2726,3421,8.137688185
CM25,24,T24,R4,3205,3926,6106,8.717027173
CM25,24,T24,R4,2671,3033,2104,7.651595574
CM25,24,T24,R4,2666,3140,4237,8.351610751
CM25,24,T24,R5,1990,2299,67.2,4.207673248
CM25,24,T24,R4,2464,3347,2482,7.816819966
CM25,24,T24,R5,1557,2157,211,5.351858133
CM25,24,T24,R4,1748,2079,1923,7.561641746
CM25,24,T24,R4,2060,2349,2855,7.956827122
CM25,24,T24,R5,2682,3135,190,5.247024072
CM25,24,T24,R5,2381,3015,87.2,4.468204331
CM25,24,T24,R4,2698,2977,2457,7.806696373
CM25,24,T24,R4,2167,2712,3681,8.210939733
CM25,24,T24,R4,1996,2248,3445,8.144679183
CM25,24,T24,R5,2496,2461,61.5,4.119037175
CM25,24,T24,R4,2845,2802,3768,8.234299636
CM25,24,T24,R4,2553,3013,4620,8.438149984
CM25,24,T24,R2,1537,2018,751,6.621405652
CM25,24,T24,R4,2425,1633,4270,8.359369106
CM25,24,T24,R5,2420,2523,59.8,4.091005661
CM25,24,T24,R4,2199,3229,2840,7.951559331
CM25,24,T24,R4,1981,1981,2318,7.748460024
CM25,24,T24,R5,2521,3221,257,5.549076085
CM25,24,T24,R4,2594,3007,1549,7.34536484
CM25,24,T24,R2,2271,2661,533,6.278521424
CM25,24,T24,R4,2559,2493,3732,8.224699562
CM25,24,T24,R4,2702,4034,4310,8.368693183
CM25,24,T24,R3,2985,2689,53,3.970291914
CM25,24,T24,R3,2319,2400,39.3,3.671224519
CM25,24,T24,R4,2481,3088,1627,7.394493107
CM25,24,T24,R5,2171,2696,64.4,4.165113633
CM25,24,T24,R5,2065,2820,211,5.351858133
CM25,24,T24,R4,1903,1521,1769,7.478169694
CM25,24,T24,R4,2458,2207,4272,8.359837381
CM25,24,T24,R4,2496,2609,2614,7.868636894
CM25,24,T24,R5,2171,2449,396,5.981414211
CM25,24,T24,R5,2447,2231,126,4.836281907
CM25,24,T24,R5,2380,2739,61.2,4.11414719
CM25,24,T24,R4,2080,2795,2610,7.8671055
CM25,24,T24,R4,2118,2259,3201,8.07121854
CM25,24,T24,R3,2651,2244,42.8,3.756538103
CM25,24,T24,R2,2322,2736,700,6.551080335
CM25,24,T24,R4,2031,2476,4007,8.295798111
CM25,24,T24,R4,2286,2613,3878,8.263074836
CM25,24,T24,R5,2266,2394,314,5.749392986
CM25,24,T24,R5,2052,2121,65.8,4.186619838
CM25,24,T24,R4,1654,2238,2290,7.736307097
CM25,24,T24,R3,2284,1875,34.3,3.535145354
CM25,24,T24,R4,3045,3154,4645,8.443546651
CM25,24,T24,R4,1972,1683,1173,7.067319849
CM25,24,T24,R4,2436,2680,1303,7.172424577
CM25,24,T24,R2,1915,2201,464,6.139884552
CM25,24,T24,R4,2696,3084,4971,8.511376306
CM25,24,T24,R4,2077,1950,2825,7.946263644
CM25,24,T24,R5,2210,2963,76.2,4.333361463
CM25,24,T24,R5,2505,2652,63.7,4.154184563
CM25,24,T24,R4,1982,2875,1258,7.137278437
CM25,24,T24,R5,2437,3120,63.1,4.14472077
CM25,24,T24,R4,2594,2597,3733,8.224967479
CM25,24,T24,R4,2641,3010,2586,7.857867559
CM25,24,T24,R4,2393,2937,2517,7.830822995
CM25,24,T24,R5,2216,2266,57.7,4.055257174
CM25,24,T24,R2,1868,2465,1040,6.946975992
CM25,24,T24,R5,1801,2338,236,5.463831805
CM25,24,T24,R5,2737,3066,83.2,4.421247348
CM25,24,T24,R5,1919,2037,58.7,4.072439727
CM25,24,T24,R4,2591,3220,4705,8.456381052
CM25,24,T24,R5,1842,2132,43,3.761200116
CM25,24,T24,R4,1867,2596,2993,8.004031508
CM25,24,T24,R4,2533,1941,1445,7.275864601
CM25,24,T24,R4,2511,2497,2004,7.602900462
CM25,24,T24,R4,2070,3016,1404,7.247080585
CM25,24,T24,R5,2828,3187,102,4.624972813
CM25,24,T24,R4,1949,2072,2771,7.926963545
CM25,24,T24,R2,2072,2557,1105,7.007600614
CM25,24,T24,R2,2457,3213,745,6.613384218
CM25,24,T24,R4,2600,2624,2546,7.842278779
CM25,24,T24,R4,2414,1983,3865,8.259716961
CM25,24,T24,R4,1568,1803,1380,7.229838778
CM25,24,T24,R5,2210,2311,363,5.894402834
CM25,24,T24,R4,1630,2410,3151,8.055475142
CM25,24,T24,R4,1552,2396,2762,7.923710334
CM25,24,T24,R5,2799,3969,118,4.770684624
CM25,24,T24,R5,2046,2573,105,4.65396035
CM25,24,T24,R4,2366,1614,2521,7.832410927
CM25,24,T24,R4,2505,3137,2589,7.85902698
CM25,24,T24,R2,2254,2660,717,6.575075841
CM25,24,T24,R4,2174,1982,2563,7.848933726
CM25,24,T24,R5,2085,2205,55.4,4.014579594
CM25,24,T24,R4,2363,2250,1669,7.419979924
CM25,24,T24,R4,1921,2560,2773,7.927685046
CM25,24,T24,R4,2246,2652,1529,7.332369206
CM25,24,T24,R4,1651,2327,2858,7.957877358
CM25,24,T24,R4,2023,2312,2825,7.946263644
CM25,24,T24,R5,2261,2331,61.1,4.112511866
CM25,24,T24,R4,2583,3121,3296,8.100464891
CM25,24,T24,R2,1702,2049,838,6.7310181
CM25,24,T24,R4,2134,2438,3871,8.261268151
CM25,24,T24,R5,2838,3619,159,5.068904202
CM25,24,T24,R4,1717,1687,3100,8.03915739
CM25,24,T24,R3,1615,2338,64.7,4.169761202
CM25,24,T24,R4,2486,2591,2086,7.643003636
CM25,24,T24,R4,1840,1579,3220,8.077136639
CM25,24,T24,R5,1781,2231,68.3,4.223909767
CM25,24,T24,R2,2777,2620,1028,6.935370446
CM25,24,T24,R5,2264,2992,81.3,4.398146017
CM25,24,T24,R4,2770,2701,3272,8.093156698
CM25,24,T24,R4,2359,2299,3187,8.066835314
CM25,24,T24,R4,2289,2864,2802,7.938088727
CM25,24,T24,R5,2244,2315,53.3,3.975936331
CM25,24,T24,R4,2183,2589,3316,8.106514516
CM25,24,T24,R5,2154,2357,456,6.12249281
CM25,24,T24,R4,2322,2509,2114,7.656337166
CM25,24,T24,R4,2054,2415,3243,8.084254106
CM25,24,T24,R4,2459,3109,1305,7.17395832
CM25,24,T24,R4,2281,1706,2167,7.681099002
CM25,24,T24,R4,2049,2109,4047,8.305731145
CM25,24,T24,R4,2280,2827,3674,8.209036266
CM25,24,T24,R4,2233,2047,2956,7.991592282
CM25,24,T24,R2,1649,2406,656,6.486160789
CM25,24,T24,R4,1897,2663,3299,8.101374671
CM25,24,T24,R4,2382,2668,3345,8.115221973
CM25,24,T24,R4,1692,2555,3151,8.055475142
CM25,24,T24,R4,2448,2816,2348,7.761319181
CM25,24,T24,R3,2223,2165,46.8,3.845883203
CM25,24,T24,R2,1622,1804,52.8,3.966511191
CM25,24,T24,R2,2505,2007,813,6.70073111
CM25,24,T24,R5,1856,2085,357,5.877735782
CM25,24,T24,R4,2190,3046,3309,8.104401308
CM25,24,T24,R4,2141,2795,3181,8.064950892
CM25,24,T24,R5,2642,2897,57.3,4.048300624
CM25,24,T24,R4,2046,1946,1528,7.33171497
CM25,24,T24,R4,2359,2925,1436,7.26961675
CM25,24,T24,R4,2264,1786,2359,7.765993079
CM25,24,T24,R4,2642,3079,3808,8.244859396
CM25,24,T24,R5,1904,1983,180,5.192956851
CM25,24,T24,R4,2392,3412,4000,8.29404964
CM25,24,T24,R3,1851,1755,42.4,3.747148362
CM25,24,T24,R5,2090,2336,359,5.883322388
CM25,24,T24,R5,1830,2020,55.7,4.019980147
CM25,24,T24,R4,1735,1408,2370,7.770645234
CM25,24,T24,R2,2378,2237,687,6.532334292
CM25,24,T24,R4,2191,2341,1498,7.311886164
CM25,24,T24,R4,2530,2864,1541,7.340186835
CM25,24,T24,R2,2457,2401,895,6.796823718
CM25,24,T24,R4,2041,2385,1339,7.199678346
CM25,24,T24,R2,2604,3182,886,6.786716951
CM25,24,T24,R4,1773,2450,2089,7.644440762
CM25,24,T24,R3,2465,2381,43.7,3.777348102
CM25,24,T24,R4,2464,3383,3417,8.136518252
CM25,24,T24,R4,1567,2539,2682,7.894318064
CM25,24,T24,R2,2247,2215,1110,7.012115294
CM25,24,T24,R5,2313,2705,260,5.560681631
CM25,24,T24,R4,2599,3209,4547,8.422222954
CM25,24,T24,R5,2054,2051,202,5.308267697
CM25,24,T24,R3,2661,2422,52.5,3.96081317
CM25,24,T24,R4,1895,2796,1577,7.363279587
CM25,24,T24,R5,2464,2405,53.2,3.974058396
CM25,24,T24,R4,2347,2789,4398,8.388905171
CM25,24,T24,R4,2367,2099,4428,8.395703294
CM25,24,T24,R4,2556,2634,4861,8.488999457
CM25,24,T24,R4,2826,3597,5035,8.524168805
CM25,24,T24,R4,1924,2182,2056,7.628517627
CM25,24,T24,R4,2492,3008,1875,7.536363938
CM25,24,T24,R4,2204,2710,2661,7.886457271
CM25,24,T24,R5,1697,2292,78,4.356708827
CM25,24,T24,R2,2746,2446,1077,6.981934677
CM25,24,T24,R4,2294,3056,2682,7.894318064
CM25,24,T24,R5,2576,3597,474,6.161207322
CM25,24,T24,R4,2376,2497,2888,7.9683195
CM25,24,T24,R5,2898,4016,254,5.537334267
CM25,24,T24,R2,2515,2030,1197,7.087573706
CM25,24,T24,R4,2215,2374,1814,7.503289631
CM25,24,T24,R4,2358,2462,3010,8.009695358
CM25,24,T24,R2,2045,3537,903,6.805722553
CM25,24,T24,R4,2550,2979,1486,7.303843225
CM25,24,T24,R4,1920,2303,1219,7.105786129
CM25,24,T24,R4,1913,1548,3239,8.083019919
CM25,24,T24,R2,2294,2613,843,6.736966958
CM25,24,T24,R5,2457,2862,318,5.762051383
CM25,24,T24,R2,2781,3143,777,6.65544035
CM25,24,T24,R4,2396,2670,1818,7.505492275
CM25,24,T24,R5,1676,2472,365,5.899897354
CM25,24,T24,R4,2292,2701,2345,7.760040681
CM25,24,T24,R2,1861,2068,768,6.643789733
CM25,24,T24,R5,2362,2154,368,5.908082938
CM25,24,T24,R5,2335,2261,71.3,4.266896327
CM25,24,T24,R4,2276,2937,3628,8.196436811
CM25,24,T24,R4,2492,3122,4143,8.329175442
CM25,24,T24,R4,2217,2719,3603,8.189522111
CM25,24,T24,R4,2172,3067,2067,7.63385356
CM25,24,T24,R4,1596,2498,3128,8.048149102
CM25,24,T24,R5,2487,2210,79.6,4.377014093
CM25,24,T24,R5,2614,2683,73.3,4.294560609
CM25,24,T24,R4,1705,2338,2221,7.705712824
CM25,24,T24,R4,2420,3026,4466,8.404248432
CM25,24,T24,R4,1914,1779,3485,8.156223323
CM25,24,T24,R4,1652,2257,3341,8.114025442
CM25,24,T24,R4,2645,2984,2364,7.768110379
CM25,24,T24,R4,2432,3128,1686,7.430114139
CM25,24,T24,R4,2458,2415,1730,7.455876687
CM25,24,T24,R2,2518,2047,692,6.539585956
CM25,24,T24,R5,2186,2126,108,4.682131227
CM25,24,T24,R4,2446,2174,4137,8.327726166
CM25,24,T24,R3,1991,1582,35.3,3.563882964
CM25,24,T24,R4,2243,2445,2435,7.797702036
CM25,24,T24,R4,2390,2140,3425,8.138856751
CM25,24,T24,R5,1991,2634,67.1,4.206184044
CM25,24,T24,R4,1604,2267,2930,7.982757702
CM25,24,T24,R4,3177,2273,4525,8.417372856
CM25,24,T24,R5,1796,2835,89.3,4.492001488
CM25,24,T24,R2,2147,2553,1072,6.977281342
CM25,24,T24,R4,2297,2307,1345,7.204149292
CM25,24,T24,R2,2145,2311,1055,6.961296046
CM25,24,T24,R4,2715,3883,1659,7.41397029
CM25,24,T24,R2,2405,3229,585,6.371611847
CM25,24,T24,R4,1646,2312,1614,7.386470849
CM25,24,T24,R4,2125,2561,2853,7.956126351
CM25,24,T24,R4,2206,2028,1934,7.567345676
CM25,24,T24,R5,2237,2846,74.9,4.316153891
CM25,24,T24,R4,2228,2185,2996,8.005033345
CM25,24,T24,R4,2457,2615,3544,8.173011312
CM25,24,T24,R5,2637,3235,547,6.304448802
CM25,24,T24,R4,2410,2473,3960,8.283999304
CM25,24,T24,R5,2138,3064,97.6,4.580877493
CM25,24,T24,R4,2789,2856,3838,8.252706677
CM25,24,T24,R4,2692,3064,4729,8.461469043
CM25,24,T24,R5,1521,2136,370,5.913503006
CM25,24,T24,R4,1630,2018,2255,7.720905252
CM25,24,T24,R5,2617,2623,65.4,4.180522258
CM25,24,T24,R4,2663,2691,3957,8.283241441
CM25,24,T24,R4,2462,3165,3793,8.240912542
CM25,24,T24,R2,2346,2797,624,6.436150368
CM25,24,T24,R5,2568,2112,174,5.159055299
CM25,24,T24,R2,2119,2426,848,6.742880636
CM25,24,T24,R4,1944,2422,3258,8.088868789
CM25,24,T24,R4,2349,3195,3501,8.160803921
CM25,24,T24,R5,2289,3309,86.6,4.461299816
CM25,24,T24,R5,2311,2817,76.8,4.34120464
CM25,24,T24,R4,2356,2557,1766,7.476472381
CM25,24,T24,R4,2639,3022,1870,7.53369371
CM25,24,T24,R5,2461,2669,73.8,4.301358732
CM25,24,T24,R3,1975,1802,35.8,3.577947893
CM25,24,T24,R5,1965,2427,74.1,4.305415532
CM25,24,T24,R4,2011,3187,3910,8.271292653
CM25,24,T24,R4,3077,4053,4689,8.452974619
CM25,24,T24,R4,2372,2458,2776,7.928766322
CM25,24,T24,R5,1613,2301,152,5.023880521
CM25,24,T24,R4,2216,2673,2487,7.818832444
CM25,24,T24,R4,2423,1981,3695,8.214735833
CM25,24,T24,R4,2674,3079,4533,8.419139251
CM25,24,T24,R4,2551,2584,2239,7.713784617
CM25,24,T24,R4,2906,2877,3072,8.030084094
CM25,24,T24,R4,2063,1589,1510,7.31986493
CM25,24,T24,R4,2263,2890,1349,7.207118856
CM25,24,T24,R5,1939,2314,54.2,3.992680908
CM25,24,T24,R5,2067,2537,235,5.459585514
CM25,24,T24,R4,1849,2049,2476,7.814399634
CM25,24,T24,R4,2465,2876,2242,7.715123604
CM25,24,T24,R5,2204,1696,254,5.537334267
CM25,24,T24,R4,2047,1677,2204,7.69802917
CM25,24,T24,R2,2480,2948,644,6.467698726
CM25,24,T24,R4,2268,2344,2961,7.993282328
CM25,24,T24,R5,2214,2252,49.3,3.897924081
CM25,24,T24,R5,1820,2467,56.7,4.037774211
CM25,24,T24,R4,2484,3081,3875,8.262300942
CM25,24,T24,R3,2662,2599,48.6,3.883623531
CM25,24,T24,R3,1621,2226,62.1,4.128745989
CM25,24,T24,R3,2673,2138,34,3.526360525
CM25,24,T24,R4,2778,3015,5189,8.554296279
CM25,24,T24,R4,1830,2401,3010,8.009695358
