Density,Time,CFU,logCFU
10^7,12,20,1.301029996
10^7,12,0,#NUM!
10^7,12,20,1.301029996
10^7,12,20,1.301029996
10^7,12,360,2.556302501
10^7,12,140,2.146128036
10^7,12,0,#NUM!
10^7,12,20,1.301029996
10^7,12,180,2.255272505
10^7,12,20,1.301029996
10^7,12,0,#NUM!
10^7,12,0,#NUM!
10^7,12,40,1.602059991
10^7,12,120,2.079181246
10^7,12,60,1.77815125
10^7,12,140,2.146128036
10^7,12,580,2.763427994
10^7,12,0,#NUM!
10^7,12,0,#NUM!
10^7,12,60,1.77815125
10^7,12,320,2.505149978
10^7,12,180,2.255272505
10^7,12,20,1.301029996
10^7,12,0,#NUM!
10^7,18,400,2.602059991
10^7,18,8200,3.913813852
10^7,18,240,2.380211242
10^7,18,280,2.447158031
10^7,18,440,2.643452676
10^7,18,680,2.832508913
10^7,18,9600,3.982271233
10^7,18,2400,3.380211242
10^7,18,200,2.301029996
10^7,18,0,#NUM!
10^7,18,200,2.301029996
10^7,18,8800,3.944482672
10^7,18,340,2.531478917
10^7,18,4000,3.602059991
10^7,18,680,2.832508913
10^7,18,560,2.748188027
10^7,18,5400,3.73239376
10^7,18,220,2.342422681
10^7,18,2000,3.301029996
10^7,18,520,2.716003344
10^7,18,1800,3.255272505
10^7,18,1040,3.017033339
10^7,18,4800,3.681241237
10^7,18,580,2.763427994
10^7,24,300,2.477121255
10^7,24,3400,3.531478917
10^7,24,3000,3.477121255
10^7,24,5000,3.698970004
10^7,24,64000,4.806179974
10^7,24,680,2.832508913
10^7,24,960,2.982271233
10^7,24,24000,4.380211242
10^7,24,20,1.301029996
10^7,24,0,#NUM!
10^7,24,20,1.301029996
10^7,24,880,2.944482672
10^7,24,34000,4.531478917
10^7,24,4000,3.602059991
10^7,24,6800,3.832508913
10^7,24,56000,4.748188027
10^7,24,5400,3.73239376
10^7,24,22000,4.342422681
10^7,24,20000,4.301029996
10^7,24,52000,4.716003344
10^7,24,180,2.255272505
10^7,24,10400,4.017033339
10^7,24,480,2.681241237
10^7,24,5800,3.763427994
10^7,36,60,1.77815125
10^7,36,2400,3.380211242
10^7,36,0,#NUM!
10^7,36,1360,3.133538908
10^7,36,20,1.301029996
10^7,36,1800,3.255272505
10^7,36,20,1.301029996
10^7,36,0,#NUM!
10^7,36,420,2.62324929
10^7,36,40,1.602059991
10^7,36,16400,4.214843848
10^7,36,7800,3.892094603
10^7,36,0,#NUM!
10^7,36,70000,4.84509804
10^7,36,0,#NUM!
10^7,36,156000,5.193124598
10^7,36,0,#NUM!
10^7,36,140,2.146128036
10^7,36,0,#NUM!
10^7,36,0,#NUM!
10^7,36,180,2.255272505
10^7,36,20800,4.318063335
10^7,36,34000,4.531478917
10^7,36,1040,3.017033339
10^8,12,200,2.301029996
10^8,12,20,1.301029996
10^8,12,80,1.903089987
10^8,12,2600,3.414973348
10^8,12,120,2.079181246
10^8,12,320,2.505149978
10^8,12,80,1.903089987
10^8,12,20,1.301029996
10^8,12,20,1.301029996
10^8,12,0,#NUM!
10^8,12,20,1.301029996
10^8,12,40,1.602059991
10^8,12,580,2.763427994
10^8,12,40,1.602059991
10^8,12,40,1.602059991
10^8,12,800,2.903089987
10^8,12,20,1.301029996
10^8,12,80,1.903089987
10^8,12,180,2.255272505
10^8,12,680,2.832508913
