"","Bact","Run","Date","Row","Column","Time","InfectTime","Bin","ID","Count","D","CFU","logCFU"
"1","SE",4,20230228,"B",1,0,48,"Low",1,12,0,240,2.38201704257487
"2","SE",4,20230228,"B",2,0,48,"Low",2,2,0,40,1.61278385671974
"3","SE",4,20230228,"B",3,0,48,"Low",3,1,0,20,1.32221929473392
"4","SE",4,20230228,"B",4,0,48,"Low",4,19,1,3800,3.5798978696031
"5","SE",4,20230228,"B",5,0,48,"Low",5,1,0,20,1.32221929473392
"6","SE",4,20230228,"B",6,0,48,"Low",6,11,0,220,2.34439227368511
"7","SE",4,20230228,"B",7,0,48,"Low",7,41,0,820,2.91434315711944
"8","SE",4,20230228,"B",8,0,48,"Low",8,34,1,6800,3.83257277484618
"9","SE",4,20230228,"B",9,0,48,"Low",9,8,1,1600,3.2043913319193
"10","SE",4,20230228,"B",10,0,48,"Low",10,18,1,3600,3.55642312137129
"11","SE",4,20230228,"B",11,0,48,"Low",11,51,0,1020,3.00902574208691
"12","SE",4,20230228,"B",12,0,48,"Low",12,36,1,7200,3.8573928109209
"13","SE",4,20230228,"C",1,0,48,"Low",13,9,1,1800,3.25551371281953
"14","SE",4,20230228,"C",2,0,48,"Low",14,87,1,17400,4.24057420701838
"15","SE",4,20230228,"C",3,0,48,"Low",15,16,0,320,2.50650503240487
"16","SE",4,20230228,"C",4,0,48,"Low",16,30,1,6000,3.7782236267661
"17","SE",4,20230228,"C",5,0,48,"Low",17,3,0,60,1.78532983501077
"18","SE",4,20230228,"C",6,0,48,"Low",18,30,1,6000,3.7782236267661
"19","SE",4,20230228,"C",7,0,48,"Low",19,0,0,0,0
"20","SE",4,20230228,"C",8,0,48,"Low",20,34,0,680,2.83314711191279
"21","SE",4,20230228,"C",9,0,48,"Low",21,14,0,280,2.44870631990508
"22","SE",4,20230228,"C",10,0,48,"Low",22,14,1,2800,3.44731310882357
"23","SE",4,20230228,"C",11,0,48,"Low",23,29,1,5800,3.7635028654676
"24","SE",4,20230228,"C",12,0,48,"Low",24,30,1,6000,3.7782236267661
"25","SE",4,20230228,"F",1,0,48,"Hi",1,89,2,178000,5.25042244215868
"26","SE",4,20230228,"F",2,0,48,"Hi",2,75,2,150000,5.17609415434258
